Tweet,loc,State
RT @greenfield64: Trump’s praise of the vaccine shocked his crowd into  silence; many if not most think it’s a hoax or a deep state creatio…,"Reus, Tarragonna, Spain",NA
RT @greenfield64: Trump’s praise of the vaccine shocked his crowd into  silence; many if not most think it’s a hoax or a deep state creatio…,USA,NA
RT @greenfield64: Trump’s praise of the vaccine shocked his crowd into  silence; many if not most think it’s a hoax or a deep state creatio…,Bay Area CA ,California
RT @greenfield64: Trump’s praise of the vaccine shocked his crowd into  silence; many if not most think it’s a hoax or a deep state creatio…,"Dartmouth, NS  Canada",NA
RT @greenfield64: Trump’s praise of the vaccine shocked his crowd into  silence; many if not most think it’s a hoax or a deep state creatio…,United States,NA
RT @greenfield64: Trump’s praise of the vaccine shocked his crowd into  silence; many if not most think it’s a hoax or a deep state creatio…,New Jersey,New Jersey
RT @greenfield64: Trump’s praise of the vaccine shocked his crowd into  silence; many if not most think it’s a hoax or a deep state creatio…,"Stockholm, Sweden",NA
RT @greenfield64: Trump’s praise of the vaccine shocked his crowd into  silence; many if not most think it’s a hoax or a deep state creatio…,Los Angeles,California
RT @greenfield64: Trump’s praise of the vaccine shocked his crowd into  silence; many if not most think it’s a hoax or a deep state creatio…,"Honolulu, HI",NA
RT @greenfield64: Trump’s praise of the vaccine shocked his crowd into  silence; many if not most think it’s a hoax or a deep state creatio…,"Des Moines, Iowa ",Iowa
RT @greenfield64: Trump’s praise of the vaccine shocked his crowd into  silence; many if not most think it’s a hoax or a deep state creatio…,,NA
RT @greenfield64: Trump’s praise of the vaccine shocked his crowd into  silence; many if not most think it’s a hoax or a deep state creatio…,near Texas Motor Speedway-TX,Texas
RT @greenfield64: Trump’s praise of the vaccine shocked his crowd into  silence; many if not most think it’s a hoax or a deep state creatio…,,NA
